Spelling; nchar; LogFreq_Zipf; DomPoS
immobilisers; 12; 1.47; noun
imperilling; 11; 1.47; verb
initialising; 12; 1.47; verb
itemiser; 8; 1.47; name
lionise; 7; 1.47; verb
lustred; 7; 1.47; verb
medalled; 8; 1.47; verb
mesmerises; 10; 1.47; verb
modernisations; 14; 1.47; noun
mouldiness; 10; 1.47; noun
nationalisations; 16; 1.47; noun
normalises; 10; 1.47; verb
novelisation; 12; 1.47; noun
pasteuriser; 11; 1.47; noun
phoneys; 7; 1.47; noun
plagiarising; 12; 1.47; verb
polariser; 9; 1.47; noun
polymerisation; 14; 1.47; noun
proselytise; 11; 1.47; verb
realisable; 10; 1.47; adjective
remoulded; 9; 1.47; verb
reprioritise; 12; 1.47; verb
romanticises; 12; 1.47; verb
satirises; 9; 1.47; verb
secularised; 11; 1.47; adjective
sensationalising; 16; 1.47; verb
sentimentalise; 14; 1.47; verb
snorkelled; 10; 1.47; verb
snugs; 5; 1.47; noun
stuccoed; 8; 1.47; adjective
summariser; 10; 1.47; noun
susses; 6; 1.47; verb
synthesising; 12; 1.47; verb
trammelled; 10; 1.47; verb
tranquilise; 11; 1.47; verb
tranquilising; 13; 1.47; verb
tranquillising; 14; 1.47; verb
overanalysing; 13; 1.39; verb
overemphasised; 14; 1.39; verb
underutilised; 13; 1.39; adjective
widthways; 9; 1.39; noun
dematerialise; 13; 1.39; verb
accoutred; 9; 1.39; verb
actualised; 10; 1.39; verb
aeon; 4; 1.39; name
aggrandising; 12; 1.39; noun
anatomised; 10; 1.39; verb
anesthetise; 11; 1.39; verb
anesthetised; 12; 1.39; verb
anglicising; 11; 1.39; verb
antagonises; 11; 1.39; verb
anthologised; 12; 1.39; adjective
atomisation; 11; 1.39; noun
atomise; 7; 1.39; verb
bints; 5; 1.39; noun
biteable; 8; 1.39; adjective
catalysing; 10; 1.39; verb
catheterisation; 15; 1.39; noun
catheterising; 13; 1.39; noun
cauterised; 10; 1.39; verb
cheeking; 8; 1.39; verb
chid; 4; 1.39; verb
collectivised; 13; 1.39; verb
compartmentalising; 18; 1.39; verb
computerising; 13; 1.39; verb
containerisation; 16; 1.39; noun
containerised; 13; 1.39; verb
contextualising; 15; 1.39; verb
conventionalised; 16; 1.39; adjective
coshed; 6; 1.39; verb
cosily; 6; 1.39; adverb
debateable; 10; 1.39; adjective
demutualisation; 15; 1.39; noun
denationalisation; 17; 1.39; noun
desensitises; 12; 1.39; verb
dialler; 7; 1.39; noun
dialyse; 7; 1.39; verb
diarrhoeal; 10; 1.39; adjective
driveable; 9; 1.39; adjective
duelled; 7; 1.39; verb
editorialise; 12; 1.39; verb
enrols; 6; 1.39; verb
etherised; 9; 1.39; verb
factorising; 11; 1.39; verb
farrows; 7; 1.39; name
fictionalises; 13; 1.39; verb
garrotting; 10; 1.39; verb
gavellers; 9; 1.39; name
glamorisation; 13; 1.39; noun
gormlessness; 12; 1.39; noun
haematomas; 10; 1.39; noun
hypothesising; 13; 1.39; verb
institutionalising; 18; 1.39; verb
intellectualising; 17; 1.39; verb
internationalising; 18; 1.39; verb
ionise; 6; 1.39; verb
jinked; 6; 1.39; verb
jinking; 7; 1.39; verb
kennelling; 10; 1.39; verb
laundrettes; 11; 1.39; noun
legalises; 9; 1.39; verb
marbleised; 10; 1.39; verb
maximisation; 12; 1.39; noun
memorialised; 12; 1.39; verb
memorialises; 12; 1.39; verb
memorises; 9; 1.39; verb
mineralised; 11; 1.39; adjective
miniaturising; 13; 1.39; verb
minimisation; 12; 1.39; noun
modularisation; 14; 1.39; noun
optimiser; 9; 1.39; noun
patronises; 10; 1.39; verb
personalises; 12; 1.39; verb
plonks; 6; 1.39; verb
poleaxe; 7; 1.39; noun
pongiest; 8; 1.39; adjective
populariser; 11; 1.39; noun
professionalise; 15; 1.39; verb
pulveriser; 10; 1.39; noun
ravelled; 8; 1.39; verb
reconnoitre; 11; 1.39; verb
reconnoitring; 13; 1.39; verb
regularise; 10; 1.39; verb
reindustrialise; 15; 1.39; verb
renationalised; 14; 1.39; verb
serialisations; 14; 1.39; noun
serialising; 11; 1.39; verb
sexualise; 9; 1.39; adjective
socialiser; 10; 1.39; noun
socialises; 10; 1.39; verb
sodomise; 8; 1.39; verb
sterilises; 10; 1.39; verb
sulphite; 8; 1.39; noun
swotted; 7; 1.39; verb
titres; 6; 1.39; noun
unionise; 8; 1.39; verb
uppish; 6; 1.39; adjective
vitalising; 10; 1.39; verb
widdershins; 11; 1.39; noun
yodelled; 8; 1.39; verb
outmanoeuvres; 13; 1.3; verb
overanalyse; 11; 1.3; verb
overemphasise; 13; 1.3; verb
paycheque; 9; 1.3; noun
theatregoer; 11; 1.3; noun
depressurised; 13; 1.3; verb
bicolour; 8; 1.3; noun
decarbonised; 12; 1.3; verb
aerofoils; 9; 1.3; noun
analysers; 9; 1.3; noun
anthropomorphise; 16; 1.3; verb
anthropomorphising; 18; 1.3; adjective
behaviourists; 13; 1.3; noun
bizzo; 5; 1.3; noun
bowdlerised; 11; 1.3; verb
breathalysing; 13; 1.3; verb
brutalisation; 13; 1.3; noun
canalisation; 12; 1.3; noun
carollers; 9; 1.3; noun
categorisations; 15; 1.3; noun
categorises; 11; 1.3; verb
cauterising; 11; 1.3; verb
centralises; 11; 1.3; verb
cheesemongers; 13; 1.3; verb
computerise; 11; 1.3; verb
conceptualisation; 17; 1.3; noun
conceptualising; 15; 1.3; verb
coomb; 5; 1.3; name
corporatisation; 15; 1.3; noun
cuppas; 6; 1.3; noun
demobilise; 10; 1.3; verb
depolarisation; 14; 1.3; noun
depressurising; 14; 1.3; verb
desensitising; 13; 1.3; verb
editorialised; 13; 1.3; verb
editorialising; 14; 1.3; verb
eroticised; 10; 1.3; verb
expertises; 10; 1.3; noun
externalise; 11; 1.3; verb
externalised; 12; 1.3; verb
factorisation; 13; 1.3; noun
familiarised; 12; 1.3; verb
familiarises; 12; 1.3; verb
feminising; 10; 1.3; verb
fictionalise; 12; 1.3; verb
formalisation; 13; 1.3; noun
gaolers; 7; 1.3; noun
gaols; 5; 1.3; noun
gemmological; 12; 1.3; name
gemmology; 9; 1.3; noun
gradin; 6; 1.3; name
graunch; 7; 1.3; verb
homogenises; 11; 1.3; noun
hospitalising; 13; 1.3; verb
immunising; 10; 1.3; verb
initialise; 10; 1.3; noun
labourite; 9; 1.3; name
magnetise; 9; 1.3; verb
marginalises; 12; 1.3; verb
memorisation; 12; 1.3; noun
metabolises; 11; 1.3; verb
militarise; 10; 1.3; unclassified
minimisers; 10; 1.3; noun
modernises; 10; 1.3; verb
mouldboard; 10; 1.3; noun
mutualise; 9; 1.3; verb
naturalisations; 15; 1.3; noun
neutralisers; 12; 1.3; noun
niffs; 5; 1.3; noun
ostracising; 11; 1.3; verb
overcapitalised; 15; 1.3; verb
p&p; 3; 1.3; name
paedophilic; 11; 1.3; adjective
pissheads; 9; 1.3; noun
pluralising; 11; 1.3; verb
politicises; 11; 1.3; verb
professionalising; 17; 1.3; verb
rationalises; 12; 1.3; verb
reanalyse; 9; 1.3; verb
recapitalisations; 17; 1.3; noun
recognisability; 15; 1.3; noun
reenergised; 11; 1.3; verb
regularisation; 14; 1.3; noun
reindustrialisation; 19; 1.3; noun
reindustrialising; 17; 1.3; verb
reprioritising; 14; 1.3; verb
revitalises; 11; 1.3; verb
rueing; 6; 1.3; verb
scandalises; 11; 1.3; verb
sensitisation; 13; 1.3; noun
sensitise; 9; 1.3; verb
sensitises; 10; 1.3; verb
sodomising; 10; 1.3; verb
sterilisations; 14; 1.3; noun
sterilisers; 11; 1.3; noun
stroppiness; 11; 1.3; noun
subsidisation; 13; 1.3; noun
suburbanisation; 15; 1.3; noun
titre; 5; 1.3; noun
transvestism; 12; 1.3; name
tricolours; 10; 1.3; noun
unrecognisably; 14; 1.3; adverb
unsubsidised; 12; 1.3; adjective
vaporisers; 10; 1.3; noun
victualler; 10; 1.3; noun
vitalised; 9; 1.3; verb
vulgarised; 10; 1.3; verb
weaselling; 10; 1.3; verb
womanise; 8; 1.3; verb
yodellers; 9; 1.3; noun
airguns; 7; 1.17; noun
clearouts; 9; 1.17; noun
cycleway; 8; 1.17; noun
overemphasising; 15; 1.17; verb
swansdown; 9; 1.17; adjective
windhover; 9; 1.17; noun
actualisation; 13; 1.17; noun
aestival; 8; 1.17; noun
aetiology; 9; 1.17; noun
aggrandise; 10; 1.17; adjective
anaesthesiologist; 17; 1.17; noun
anatomise; 9; 1.17; verb
anatomising; 11; 1.17; verb
armouring; 9; 1.17; noun
arsy; 4; 1.17; adjective
bacteraemia; 11; 1.17; noun
barques; 7; 1.17; noun
behove; 6; 1.17; verb
belaboured; 10; 1.17; adjective
broadaxe; 8; 1.17; name
candyflosses; 12; 1.17; noun
cannibalisation; 15; 1.17; noun
canonise; 8; 1.17; verb
carburetted; 11; 1.17; verb
catheterised; 12; 1.17; verb
cauterises; 10; 1.17; verb
centilitre; 10; 1.17; noun
centralisers; 12; 1.17; noun
centrefolds; 11; 1.17; verb
cissies; 7; 1.17; noun
colourfulness; 13; 1.17; noun
colourised; 10; 1.17; verb
compartmentalisation; 20; 1.17; noun
connexion; 9; 1.17; name
criminalises; 12; 1.17; unclassified
customises; 10; 1.17; verb
decimetre; 9; 1.17; noun
deinstitutionalisation; 22; 1.17; noun
dekko; 5; 1.17; noun
demilitarise; 12; 1.17; verb
demilitarising; 14; 1.17; verb
demineralised; 13; 1.17; adjective
denuclearisation; 16; 1.17; noun
depersonalises; 14; 1.17; verb
deputises; 9; 1.17; verb
desensitisation; 15; 1.17; noun
diarise; 7; 1.17; verb
duellist; 8; 1.17; noun
dyspnoea; 8; 1.17; noun
economised; 10; 1.17; verb
elasticised; 11; 1.17; adjective
empathiser; 10; 1.17; noun
farriery; 8; 1.17; adjective
farrowed; 8; 1.17; verb
federalising; 12; 1.17; verb
fictionalisation; 16; 1.17; noun
footle; 6; 1.17; adjective
formalises; 10; 1.17; verb
fruiterer; 9; 1.17; noun
galvanisation; 13; 1.17; name
gambolled; 9; 1.17; verb
ghettoise; 9; 1.17; adjective
globalise; 9; 1.17; verb
goitres; 7; 1.17; noun
gryphons; 8; 1.17; noun
haemangioma; 11; 1.17; noun
haematological; 14; 1.17; adjective
haematologists; 14; 1.17; noun
haemocytometer; 14; 1.17; noun
haemodialysis; 13; 1.17; noun
haemoptysis; 11; 1.17; noun
haemorrhoidectomy; 17; 1.17; adjective
hectolitre; 10; 1.17; noun
hospitalises; 12; 1.17; noun
immobilises; 11; 1.17; verb
immortalises; 12; 1.17; verb
individualise; 13; 1.17; verb
initialling; 11; 1.17; verb
intellectualised; 16; 1.17; adjective
itemises; 8; 1.17; verb
itemising; 9; 1.17; verb
judgementally; 13; 1.17; adverb
kinaesthetic; 12; 1.17; adjective
legitimisation; 14; 1.17; noun
libelling; 9; 1.17; verb
lionises; 8; 1.17; verb
liquidisers; 11; 1.17; noun
