Title	Type	Year	Author	Country	Budget	Box	Duration	Producer
Battlefield Baseball	Film	2003	Yudai Yamaguchi	Japan				
Down to Hell	Film	1997	Ryûhei Kitamura	Japan	2761.8		47	 Skullhead Productions/napalm FiLMS
Stacy	Film	2001	Naoyuki Tomomatsu	Japan			80	 GAGA/Gensou haikyuu-sha Ltd.
Wanli Xingshi	Film	1939	Toi Wong/Fok Yin	Hong Kong				Datong Trading Company/Zhengyi Film Company
The Guard Post	Film	2008	Su-chang Kong	South Korea	1e+06	6376664	121	Motis Productions
Junk (Shiryo-gari)	Film	2000	Atsushi Muroga	Japan				
Versus/Vasasu	Film	2000	Ryuhei Kitamura	Japan	4e+05	55500	119	WEVCO Produce Company/napalm FiLMS/KSS
Wild Zero	Film	2000	Tetsuro Takeuchi	Japan				
Scooby-Doo on Zombie Island	Film	1998	Hiroshi Aoyama/Kazumi Fukushima	Japan				
Battle Girl: The Living Dead in Tokyo Bay	Film	1991	Kazuo Komizu	Japan				
The Discarnates (Summer Among the Zombies, Ijintachi tono natsu)	Film	1988	Nobuhiko Obayashi	Japan				
Sankarea	Series	2012	Shinichi Omata	Japan				
Is This a Zombie?/Fujimi Fantasia Bunko #1	Comic	2009	Takaomi Kanasaki	Japan				Fujimi Shobō
Is This a Zombie?/Fujimi Fantasia Bunko #2	Comic	2009	Takaomi Kanasaki	Japan				Fujimi Shobō
Is This a Zombie?/Fujimi Fantasia Bunko #3	Comic	2009	Takaomi Kanasaki	Japan				Fujimi Shobō
Is This a Zombie?/Fujimi Fantasia Bunko #4	Comic	2010	Takaomi Kanasaki	Japan				Fujimi Shobō
Is This a Zombie?/Fujimi Fantasia Bunko #5	Comic	2010	Takaomi Kanasaki	Japan				Fujimi Shobō
Is This a Zombie?/Fujimi Fantasia Bunko #6	Comic	2010	Takaomi Kanasaki	Japan				Fujimi Shobō
Is This a Zombie?/Fujimi Fantasia Bunko #7	Comic	2011	Takaomi Kanasaki	Japan				Fujimi Shobō
Highschool of the Dead	Series	2010	Tetsuro Araki	Japan				
Vere Vazhi Ille	Film	2015	M.S. Prem Nath	Malaysia				
Isle of the Snake People/La muerte viviente	Film	1968	Juan Ibanez	Mexico				
Santo vs. the Zombies/Invasion of the Zombies	Film	1962	Benito Alazraki	Mexico				
The Curse of the Doll People/Muñecos infernales	Film	1961	Benito Alazraki	Mexico				
Beste Vrienden	Film	2016	Ruwan Heggelman	Netherlands				
Zombibi (Kill Zombie or Zombie Kill)	Film	2012	Martijn Smits/Erwin van den Eshof	Netherlands	5e+05	311245	90	Launch Works/Talent United Film & TV
Sint (Saint, Saint Nick)	Film	2010	Dick Maas	Netherlands				
Worst Case Scenario/Woensdag Gehaktdag	Film	2004	Richard Raaphorst	Netherlands				
Army of the Dead	Film	2020	Zack Snyder	United States	9e+07			The Stone Quarry
Defence of the Living Dead: zombies as vectors for transmitting positive health messages	Academic	2016	Raja Ragupathy	New Zealand				
Last of the Living	Film	2008	Logan McMillan	New Zealand				
Black Sheep	Film	2006	Jonathan King	New Zealand				
House of the Dead II	Film	2005	Michael Hurst	New Zealand				
Return of the Living Dead: Necropolis	Film	2005	Ellory Elkayem	New Zealand				
Return of the Living Dead: Rave to the Grave	Film	2005	Ellory Elkayem	New Zealand				
Braindead (Dead Alive)	Film	1992	Peter Jackson	New Zealand				
Ojuju	Film	2014	C.J. Obasi	Nigeria				
The Autopsy of Jane Doe	Film	2016	Andre Ovredal	Norway				
Dead Snow: Red vs. Dead	Film	2014	Tommy Wirkola	Norway		32617		
Dead Snow	Film	2008	Tommy Wirkola	Norway				
Dead Snow 3	Film		Tommy Wirkola	Norway				
Zibahkhana (Hell's Ground)	Film	2007	Omar Khan	Pakistan				
Dead House/Beautiful People	Film	2014	Brini Amerigo	Philippines			85	
Trip Ubusan: The Lolas vs. Zombies	Film	2017	Mark A. Reyes	Philippines		1351350	108	
Remington and the Curse of the Zombadings (Zombadings 1: Patayin sa Shokot si Remington)	Film	2011	Jade Castro	Philippines				
Beneath Still Waters	Film	2005	Brian Yuzna	Philippines				
Beyond Re-Animator	Film	2003	Brian Yuzna	Philippines				
Return of the Living Dead 3	Film	1993	Brian Yuzna	Philippines	2e+06	21000	97	
Bride of Re-Animator	Film	1991	Brian Yuzna	Philippines				
The Stories of Grandmother Basyang (Mga Kuwento ni Lola Basyang)	Film	1985	Maryo J. De los Reyes	Philippines				
Wilczyca (The Wolf, She-Wolf)	Film	1983	Marek Piestrak	Poland				
M is for Macho	Film	2013	Jose Pedro Lopes	Portugal				
Zone of the Dead (Zona Mrtvih) 	Film	2009	Milan Konjevic/Milan Todorovic	Serbia				
Socialisticky Zombi Mord	Film	2014	Rastislav Blazek/Peter Cermak/Zuzana Paulini	Slovakia				
Chang-gwol/Rampant	Film	2018	Kim Sung-hoon	South Korea	1.5e+07	11937675	127	
Seoul Station	Film	2016	Yeon Sang-ho	South Korea				
Train to Busan	Film	2016	Yeon Sang-ho	South Korea	8500000	98458103	118	Next Entertainment World/RedPeter Film/Movic Comics
Train to Busan 2: Peninsula	Film	2020	Yeon Sang-ho	South Korea				Movic Comics/Next Entertainment World/RedPeter Film
Kingdom	Series	2019		South Korea			45	Netflix
Last Ones Out	Film	2016	Howard Fyvie	South Africa				
The Walking Dead: Apocalipsis Zombi Ya	Academic	2012	Stephen Bret Greeley/Marc Pastor/Santiago García/Gordon Hawkes/Jorge Fernández Gonzalo/Dave Beisecker/Pierre Blanc/Julia Round/Jeffrey Hinzman/Álvaro Fuentes/Edgar A. Poe/Antonio Fornet/Vivancos	Spain				
Extinction	Film	2015	Miguel Angel Vivas	Spain		2350695		
Summer Camp	Film	2015	Alberto Marini	Spain				
REC 4: Apocalypse	Film	2014	Jaume Balaguero	Spain				
Open Grave	Film	2013	Gonzalo Lopez-Gallego	Spain				
The Last Days	Film	2013	David Pastor/Alex Pastor	Spain				
The Returned	Film	2013	Manuel Carballo	Spain		321167		
Fist of Jesus	Film	2012	David Munoz/Adrian Cardona	Spain				
REC 3: Genesis	Film	2012	Paco Plaza	Spain	7250600	10148447		
[Rec] 3: Genesis	Film	2012	Paco Plaza	Spain	6400000	10100000	85	
Juan of the Dead (Juan de los Muertos)	Film	2010	Alejandro Brugues	Spain				
REC 2	Film	2009	Jaume Balaguero/Paco Plaza	Spain	3500000	18497446	85	
Sexykiller/Sexykiller, morirás por ella	Film	2008	Paco Cabeza	Spain				
28 Weeks Later	Film	2007	Juan Carlos Fresnadillo	Spain	1.5e+07	64232714	100	
REC	Film	2007	Jaume Balaguero/Paco Plaza	Spain				
I'll See You in My Dreams	Film	2003	Miguel Angel Vivas	Spain				
Mansion of the Living Dead	Film	1982	Jesus Franco	Spain				
Oasis of the Zombies	Film	1982	Jesus Franco	Spain				
Oasis of the Zombies	Film	1981	Jesus Franco	Spain				
Night of the Seagulls	Film	1975	Amando de Ossorio	Spain				
Let Sleeping Corpses Lie	Film	1974	Jorge Grau	Spain				
The Ghost Galleon	Film	1974	Amando de Ossorio	Spain				
A Virgin Among the Living Dead	Film	1973	Jesus Franco	Spain				
Horror Express/Pánico en el Transiberiano	Film	1973	Eugenio Martin	Spain				
Return of the Blind Dead	Film	1973	Amando de Ossorio	Spain				
The Hanging Woman/Return of the Zombies	Film	1973	Jose Luis Merino	Spain				
Horror Rises from the Tomb	Film	1972	Carlos Aured	Spain				
Tombs of the Blind Dead	Film	1971	Amando de Ossorio	Spain				
Conjura Z	Novel	2018	Sergio Tapia	Spain				
El Cuarto Jinete: Ecolalia	Novel	2018	Victor Blazquez	Spain				
Extinción Z. Los demonios: Los supervivientes buscan venganza, los demonios exterminarlos	Novel	2018	Victor Manuel Granda	Spain				
Extinción Z. Los elegidos: Los muertos buscan presas, los vivos solamente sobrevivir	Novel	2018	Victor Manuel Granda	Spain				
Extinción Z. Los olvidados: Humanos y Gartex	Novel	2018	Victor Manuel Granda	Spain				
Los Muertos Caminan	Novel	2018	Dailos Jesus Morales	Spain				
madriZ: El Origen	Novel	2018	David Menendez	Spain				
madriZ: La Invasion	Novel	2018	David Menendez	Spain				
Z El Señor de los Zombis: La supervivencia se elige	Novel	2018	Facundo Caivano	Spain				
Zombies de Leningrado 2: La perspectiva del caníbal	Novel	2018	Javier Cosnava	Spain				
Apocalipsis Island: México	Novel	2017	Antonio Malpica	Spain				
Cenizas: Y Pese a Todo	Novel	2017	Juan de Dios Garduno	Spain				
Cruzero	Novel	2017	Oscar Nadal	Spain				
De Madrid al Zielo 3: Resistencia	Novel	2017	Alfonso Zamora	Spain				
El Camino de los Vivos	Novel	2017	Ivan Santos	Spain				
Mundo Muerto: (Diario de un superviviente)	Novel	2017	David Medina Botija	Spain				
Renaissance	Novel	2017	J.J. Lucas	Spain				
Apocalipsis Island 3: Misión África	Novel	2016	Vicente Garcia	Spain				
SOLOS. Origen	Novel	2016	Alvaro Fuentes	Spain				
Apocalipsis Island 7: La Batalla Final	Novel	2015	Vicente Garcia	Spain				
Los Caminantes: Tempus Fugit	Novel	2015	Carlos Sisi	Spain				
Sangre Fria	Novel	2015	Claudio Cerdan	Spain				
Zombi	Novel	2015	Diego Garcia Andreu	Spain				
Zombies de Leningrado	Novel	2015	Javier Cosnava	Spain				
El Cuarto Jinete: Destruccion Masiva	Novel	2014	Victor Blazquez	Spain				
Los Caminantes: Aeternum	Novel	2014	Carlos Sisi	Spain				
Apocalipsis Island 5: Nuevos Origenes	Novel	2013	Jose David Garcia del Castillo	Spain				
Apocalipsis Island 6: El Centro Comercial	Novel	2013	Vicente Garcia	Spain				
Caminarán Sobre la Tierra	Novel	2013	Miguel Aguerralde	Spain				
De Madrid al Zielo	Novel	2013	Alfonso Zamora	Spain				
El Cuarto Jinete: Armagedon	Novel	2013	Victor Blazquez	Spain				
Peta Z	Novel	2013	Victor Blazquez	Spain				
Red Zone	Novel	2013	Macu Marrero	Spain				
Voraz	Novel	2013	Fermin Moreno	Spain				
Apocalipsis Island 4: Guerra Total Z	Novel	2012	Vicente Garcia	Spain				
El Cuarto Jinete	Novel	2012	Victor Blazquez	Spain				
La Ira de los Justos	Novel	2011	Manel Loureiro	Spain				
Los Caminantes: Hades Nebula	Novel	2011	Carlos Sisi	Spain				
Antologia Z	Novel	2010	Álvaro Fuentes	Spain				
Apocalipsis Island 1	Novel	2010	Vicente Garcia	Spain				
Apocalipsis Island 2: Origenes	Novel	2010	Vicente Garcia	Spain				
Diario de un Zombi	Novel	2010	Sergi Llauger	Spain				
Extinción: Y Pese a Todo	Novel	2010	Juan de Dios Garduno	Spain				
Los Caminantes: Necropolis	Novel	2010	Carlos Sisi	Spain				
Los Dias Oscuros	Novel	2010	Manel Loureiro	Spain				
Los Caminantes	Novel	2009	Carlos Sisi	Spain				
Apocalipsis Z	Novel	2008	Manel Loureiro	Spain				
Operation Ragnarök	Film	2018	Fredik Hiller	Sweden	2077641.6		99	
Die Zombiejager	Film	2005	Jonas Wolcher	Sweden				
Handling the Undead	Novel	2005	John Ajvide Lindqvist	Sweden				
Doc of the Dead	Film	2014	Alexandre O. Philippe	Switzerland				
Decay	Film	2012	Luke Thompson	Switzerland				
La Revanche des Mortes Vivantes	Film	1987	Pierre B. Reinhard	Switzerland				
SARS Wars	Film	2004	Taweewat Wantha	Thailand				
Island: Wedding of the Zombies	Film	2010	Murat Emir Eren/Talip Erturk	Turkey				
Emerging Infectious Literatures and the Zombie Condition	Academic	2018	Joanna Verran/Xavier Aldana	United Kingdom				Taylor & Francis
Zombie materials	Academic	2018	Phillip Ball	United Kingdom				
Zombies in the Academy	Academic	2013	Adrew Whelan/Ruth Walker/Christopher Moore	United Kingdom				
Victorian Undead	Comic	2010	Ian Edginton	United Kingdom				
One Cut of the Dead	Film	2017	Shinichiro Ueda	Japan	25000	30500000	96	ENBU Seminar
Raise of the Dead	Comic	2008	Leah Moore/John Reppion	United Kingdom				
Blackgas	Comic	2006	Warren Ellis	United Kingdom				
